"Population, total",Population growth (annual %),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),Urban population (% of total population),Net migration,"Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)","Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
1525663.0,0.49,19.3,11.1,53.27,2632.0,9.13,72.97,1.1,15.9,99.91,95.23,55.27,4.45
12262946.0,0.83,24.92,8.8,69.89,-9189.0,7.88,73.77,0.1,12.3,105.04,95.23,33.9,16.51
6719538.0,0.91,23.48,8.38,76.57,-563.5,6.4,76.03,0.4,10.1,102.6,114.15,55.27,11.97
6341855.0,1.45,31.22,4.91,53.0,-4503.0,6.59,69.26,0.4,41.4,109.88,91.97,55.27,4.45
45114.0,1.87,16.75,10.15,93.83,682.0,9.24,74.59,0.4,6.1,99.91,97.5,55.27,6.035
11204.0,1.21,31.63,6.22,64.79,-15.0,10.16,64.55,0.4,21.0,102.4,90.01,55.27,6.035
45853778.0,3.21,45.19,1.68,25.55,-563.5,5.88,62.71,0.4,42.0,99.91,95.23,55.27,3.42
43848986.0,-0.81,15.22,17.4,69.76,831.0,8.129999999999999,69.65,0.4,8.2,91.15,84.65,75.91,9.83
9365145.0,0.83,15.14,1.76,87.3,-2762.0,1.87,78.71,0.1,5.6,99.91,95.23,55.27,3.11
6719538.0,-0.08,17.66,18.92,84.15,-563.5,9.7,80.7,0.4,4.2,102.04,113.68,77.08,4.83
6719538.0,0.16,18.24,16.68,82.87,-563.5,10.4,76.33,0.4,6.3,98.31,101.19,55.27,5.35
3426260.0,-0.08,19.44,15.46,95.6,-1486.0,12.16,75.44,0.6,6.8,107.99,95.23,75.17,9.3
34915100.0,1.98,30.07,4.98,50.43,-563.5,5.0,70.86,0.4,14.0,97.93,86.06,55.27,5.35
319137.0,2.36,39.62,3.72,25.67,-197.0,5.4,70.45,0.4,18.7,99.91,95.23,55.27,4.73
28199867.0,-1.03,28.17,8.34,88.33,-563.5,8.12,70.55,0.5,24.2,99.91,95.23,55.27,7.03
